code,description
845,Intestinal infection due to Clostridium difficile
88,"Intestinal infection due to other organism, not elsewhere classified"
90,"Infectious colitis, enteritis, and gastroenteritis"
380,Streptococcal septicemia
3810,"Staphylococcal septicemia, unspecified"
3811,Methicillin susceptible Staphylococcus aureus septicemia
3812,Methicillin resistant Staphylococcus aureus septicemia
3819,Other staphylococcal septicemia
382,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
383,Septicemia due to anaerobes
3840,"Septicemia due to gram-negative organism, unspecified"
3842,Septicemia due to escherichia coli [E. coli]
3843,Septicemia due to pseudomonas
3849,Other septicemia due to gram-negative organisms
388,Other specified septicemias
389,Unspecified septicemia
4102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
4104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
4109,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
4110,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
4111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
4112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
4119,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
413,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
414,[UNK:0414]
4149,Other and unspecified Escherichia coli [E. coli]
416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
417,Pseudomonas infection in conditions classified elsewhere and of unspecified site
4184,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
4185,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
4186,Helicobacter pylori [H. pylori]
4189,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
42,Human immunodeficiency virus [HIV] disease
479,Unspecified viral meningitis
5319,Herpes zoster with other nervous system complications
539,Herpes zoster without mention of complication
542,Herpetic gingivostomatitis
549,Herpes simplex without mention of complication
7030,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
7032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
7044,Chronic hepatitis C with hepatic coma
7051,Acute hepatitis C without mention of hepatic coma
7054,Chronic hepatitis C without mention of hepatic coma
7070,Unspecified viral hepatitis C without hepatic coma
7071,Unspecified viral hepatitis C with hepatic coma
785,Cytomegaloviral disease
7999,Unspecified viral infection
8881,Lyme Disease
1101,Dermatophytosis of nail
1103,Dermatophytosis of groin and perianal area
1120,Candidiasis of mouth
1121,Candidiasis of vulva and vagina
1122,Candidiasis of other urogenital sites
1123,Candidiasis of skin and nails
1124,Candidiasis of lung
1125,Disseminated candidiasis
11284,Candidal esophagitis
11289,Other candidiasis of other specified sites
1173,Aspergillosis
1179,Other and unspecified mycoses
135,Sarcoidosis
1363,Pneumocystosis
138,Late effects of acute poliomyelitis
1505,Malignant neoplasm of lower third of esophagus
1508,Malignant neoplasm of other specified part of esophagus
1510,Malignant neoplasm of cardia
1533,Malignant neoplasm of sigmoid colon
1534,Malignant neoplasm of cecum
1536,Malignant neoplasm of ascending colon
1541,Malignant neoplasm of rectum
1550,"Malignant neoplasm of liver, primary"
1551,Malignant neoplasm of intrahepatic bile ducts
1552,"Malignant neoplasm of liver, not specified as primary or secondary"
1560,Malignant neoplasm of gallbladder
1561,Malignant neoplasm of extrahepatic bile ducts
1562,Malignant neoplasm of ampulla of vater
1570,Malignant neoplasm of head of pancreas
1578,Malignant neoplasm of other specified sites of pancreas
1622,Malignant neoplasm of main bronchus
1623,"Malignant neoplasm of upper lobe, bronchus or lung"
1625,"Malignant neoplasm of lower lobe, bronchus or lung"
1628,Malignant neoplasm of other parts of bronchus or lung
1629,"Malignant neoplasm of bronchus and lung, unspecified"
1749,"Malignant neoplasm of breast (female), unspecified"
1820,"Malignant neoplasm of corpus uteri, except isthmus"
185,Malignant neoplasm of prostate
1888,Malignant neoplasm of other specified sites of bladder
1889,"Malignant neoplasm of bladder, part unspecified"
1890,"Malignant neoplasm of kidney, except pelvis"
1911,Malignant neoplasm of frontal lobe
1912,Malignant neoplasm of temporal lobe
1919,"Malignant neoplasm of brain, unspecified"
193,Malignant neoplasm of thyroid gland
1960,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1962,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
1963,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
1965,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
1970,Secondary malignant neoplasm of lung
1971,Secondary malignant neoplasm of mediastinum
1972,Secondary malignant neoplasm of pleura
1973,Secondary malignant neoplasm of other respiratory organs
1974,Secondary malignant neoplasm of small intestine including duodenum
1975,Secondary malignant neoplasm of large intestine and rectum
1976,Secondary malignant neoplasm of retroperitoneum and peritoneum
1977,"Malignant neoplasm of liver, secondary"
1982,Secondary malignant neoplasm of skin
1983,Secondary malignant neoplasm of brain and spinal cord
1984,Secondary malignant neoplasm of other parts of nervous system
1985,Secondary malignant neoplasm of bone and bone marrow
1987,Secondary malignant neoplasm of adrenal gland
19889,Secondary malignant neoplasm of other specified sites
20020,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
20190,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
20210,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
20280,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
20288,"Other malignant lymphomas, lymph nodes of multiple sites"
20300,"Multiple myeloma, without mention of having achieved remission"
20410,"Chronic lymphoid leukemia, without mention of having achieved remission"
20500,"Acute myeloid leukemia, without mention of having achieved remission"
20510,"Chronic myeloid leukemia, without mention of having achieved remission"
2111,Benign neoplasm of stomach
2112,"Benign neoplasm of duodenum, jejunum, and ileum"
2113,Benign neoplasm of colon
2114,Benign neoplasm of rectum and anal canal
2127,Benign neoplasm of heart
2252,Benign neoplasm of cerebral meninges
2270,Benign neoplasm of adrenal gland
2273,Benign neoplasm of pituitary gland and craniopharyngeal duct
22802,Hemangioma of intracranial structures
22804,Hemangioma of intra-abdominal structures
22809,Hemangioma of other sites
2387,[UNK:2387]
23871,Essential thrombocythemia
23875,"Myelodysplastic syndrome, unspecified"
23879,Other lymphatic and hematopoietic tissues
2411,Nontoxic multinodular goiter
24200,Toxic diffuse goiter without mention of thyrotoxic crisis or storm
24290,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
2440,Postsurgical hypothyroidism
2441,Other postablative hypothyroidism
2448,Other specified acquired hypothyroidism
2449,Unspecified acquired hypothyroidism
