code,symptom
8872,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, without mention of complication"
3571,Polyneuropathy in collagen vascular disease
3961,Mitral valve stenosis and aortic valve insufficiency
0066,Amebic skin ulceration
3950,Rheumatic aortic stenosis
0042,Shigella boydii
9744,Poisoning by other diuretics
8961,"Traumatic amputation of foot (complete) (partial), unilateral, complicated"
7761,Transient neonatal thrombocytopenia
8674,"Injury to uterus, without mention of open wound into cavity"
7851,Palpitations
5361,Acute dilatation of stomach
7861,Stridor
9671,Poisoning by chloral hydrate group
9604,Poisoning by tetracycline group
9925,"Heat exhaustion, unspecified"
9915,Chilblains
4131,Prinzmetal angina
9910,Frostbite of face
9912,Frostbite of foot
3142,Hyperkinetic conduct disorder
3897,"Deaf, nonspeaking, not elsewhere classifiable"
3521,Glossopharyngeal neuralgia
311,"Depressive disorder, not elsewhere classified"
9672,Poisoning by paraldehyde
9390,Foreign body in bladder and urethra
3942,Mitral stenosis with insufficiency
9782,Poisoning by cholera vaccine
5523,Diaphragmatic hernia with obstruction
9971,"Cardiac complications, not elsewhere classified"
1649,"Malignant neoplasm of mediastinum, part unspecified"
3491,Nervous system complications from surgically implanted device
8842,"Multiple and unspecified open wound of upper limb, with tendon involvement"
0041,Shigella flexneri
8841,"Multiple and unspecified open wound of upper limb, complicated"
7781,Sclerema neonatorum
7841,Throat pain
0309,"Leprosy, unspecified"
5551,Regional enteritis of large intestine
0722,Mumps encephalitis
3522,Other disorders of glossopharyngeal [9th] nerve
4579,Unspecified noninfectious disorder of lymphatic channels
4439,"Peripheral vascular disease, unspecified"
3959,Other and unspecified rheumatic aortic diseases
9605,Poisoning of cephalosporin group
9929,Unspecified effects of heat and light
7789,Unspecified condition involving the integument and temperature regulation of fetus and newborn
0093,Diarrhea of presumed infectious origin
8605,Traumatic pneumohemothorax with open wound into thorax
9634,"Poisoning by enzymes, not elsewhere classified"
3524,Disorders of accessory [11th] nerve
0331,Whooping cough due to bordetella parapertussis [B. parapertussis]
3239,"Unspecified causes of encephalitis, myelitis, and encephalomyelitis"
8628,"Injury to multiple and unspecified intrathoracic organs, without mention of open wound into cavity"
8191,"Multiple open fractures involving both upper limbs, and upper limb with rib(s) and sternum"
0040,Shigella dysenteriae
2101,Benign neoplasm of tongue
4542,Varicose veins of lower extremities with ulcer and inflammation
9607,Poisoning by antineoplastic antibiotics
4233,Cardiac tamponade
3492,"Disorders of meninges, not elsewhere classified"
9921,Heat syncope
8411,Ulnar collateral ligament sprain
2242,Benign neoplasm of lacrimal gland
9920,Heat stroke and sunstroke
9229,Contusion of unspecified part of trunk
4519,Phlebitis and thrombophlebitis of unspecified site
3804,Impacted cerumen
3971,Rheumatic diseases of pulmonary valve
3979,"Rheumatic diseases of endocardium, valve unspecified"
5187,Transfusion related acute lung injury (TRALI)
5185,Post traum pulm insuffic
8962,"Traumatic amputation of foot (complete) (partial), bilateral, without mention of complication"
5201,Supernumerary teeth
5122,Postoperative air leak
430,Subarachnoid hemorrhage
3949,Other and unspecified mitral valve diseases
9962,"Mechanical complication of nervous system device, implant, and graft"
0011,Cholera due to vibrio cholerae el tor
9606,Poisoning of antimycobacterial antibiotics
3523,Disorders of pneumogastric [10th] nerve
3814,"Nonsuppurative otitis media, not specified as acute or chronic"
8963,"Traumatic amputation of foot (complete) (partial), bilateral, complicated"
9914,Immersion foot
5369,Unspecified functional disorder of stomach
5794,Pancreatic steatorrhea
3539,Unspecified nerve root and plexus disorder
3612,Serous retinal detachment
9755,Poisoning by expectorants
5198,"Other diseases of respiratory system, not elsewhere classified"
8876,"Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], without mention of complication"
9608,Poisoning by other specified antibiotics
9462,"Blisters, epidermal loss [second degree] of multiple specified sites"
4561,Esophageal varices without mention of bleeding
9648,Poisoning by other specified agents affecting blood constituents
7935,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs
1631,Malignant neoplasm of visceral pleura
9922,Heat cramps
5169,Unspecified alveolar and parietoalveolar pneumonopathy
5110,Pleurisy without mention of effusion or current tuberculosis
9961,"Mechanical complication of other vascular device, implant, and graft"
8412,Radiohumeral (joint) sprain
7769,Unspecified hematological disorder specific to newborn
3821,Chronic tubotympanic suppurative otitis media
3929,Rheumatic chorea without mention of heart involvement
8960,"Traumatic amputation of foot (complete) (partial), unilateral, without mention of complication"
3321,Secondary parkinsonism
